path,x,y
../Rocks-CENTERED/004863.png,11,61
../Rocks-CENTERED/004877.png,0,10
../Rocks-CENTERED/004687.png,31,22
../Rocks-CENTERED/001927.png,0,61
../Rocks-CENTERED/001099.png,43,32
../Rocks-CENTERED/000387.png,30,43
../Rocks-CENTERED/003856.png,11,16
../Rocks-CENTERED/002590.png,32,41
../Rocks-CENTERED/003842.png,31,56
../Rocks-CENTERED/002584.png,68,31
../Rocks-CENTERED/000393.png,56,31
../Rocks-CENTERED/001933.png,21,10
../Rocks-CENTERED/004693.png,53,11
../Rocks-CENTERED/004678.png,5,38
../Rocks-CENTERED/003117.png,35,14
../Rocks-CENTERED/002209.png,69,62
../Rocks-CENTERED/001700.png,5,66
../Rocks-CENTERED/000378.png,32,27
../Rocks-CENTERED/001066.png,51,37
../Rocks-CENTERED/003671.png,67,16
../Rocks-CENTERED/003665.png,49,49
../Rocks-CENTERED/001072.png,49,31
../Rocks-CENTERED/001714.png,35,50
../Rocks-CENTERED/003103.png,21,58
../Rocks-CENTERED/000422.png,18,3
../Rocks-CENTERED/004644.png,42,30
../Rocks-CENTERED/002235.png,50,65
../Rocks-CENTERED/003895.png,27,30
../Rocks-CENTERED/002553.png,9,50
../Rocks-CENTERED/004122.png,26,9
../Rocks-CENTERED/000344.png,39,26
../Rocks-CENTERED/000350.png,32,42
../Rocks-CENTERED/003881.png,65,30
../Rocks-CENTERED/002547.png,52,5
../Rocks-CENTERED/003659.png,17,58
../Rocks-CENTERED/004136.png,49,56
../Rocks-CENTERED/004650.png,13,30
../Rocks-CENTERED/004888.png,25,18
../Rocks-CENTERED/002221.png,30,37
../Rocks-CENTERED/001728.png,34,37
../Rocks-CENTERED/000436.png,23,31
../Rocks-CENTERED/002976.png,29,33
../Rocks-CENTERED/000807.png,12,56
../Rocks-CENTERED/000813.png,57,64
../Rocks-CENTERED/002962.png,44,11
../Rocks-CENTERED/002792.png,63,24
../Rocks-CENTERED/000185.png,60,49
../Rocks-CENTERED/004485.png,51,6
../Rocks-CENTERED/004491.png,0,65
../Rocks-CENTERED/000191.png,49,3
../Rocks-CENTERED/002786.png,0,30
../Rocks-CENTERED/003498.png,6,58
../Rocks-CENTERED/003473.png,32,12
../Rocks-CENTERED/001264.png,65,31
../Rocks-CENTERED/001502.png,44,54
../Rocks-CENTERED/003315.png,8,24
../Rocks-CENTERED/003301.png,0,19
../Rocks-CENTERED/000608.png,4,30
../Rocks-CENTERED/001516.png,14,41
../Rocks-CENTERED/001270.png,7,26
../Rocks-CENTERED/004308.png,7,21
../Rocks-CENTERED/003467.png,2,52
../Rocks-CENTERED/002779.png,36,47
../Rocks-CENTERED/001258.png,22,8
../Rocks-CENTERED/000146.png,67,46
../Rocks-CENTERED/002989.png,35,26
../Rocks-CENTERED/004320.png,44,36
../Rocks-CENTERED/002751.png,7,40
../Rocks-CENTERED/002037.png,15,17
../Rocks-CENTERED/003329.png,68,43
../Rocks-CENTERED/004446.png,31,5
../Rocks-CENTERED/000620.png,2,13
../Rocks-CENTERED/000634.png,9,56
../Rocks-CENTERED/002023.png,55,49
../Rocks-CENTERED/004452.png,46,2
../Rocks-CENTERED/004334.png,46,69
../Rocks-CENTERED/002745.png,29,63
../Rocks-CENTERED/000152.png,68,46
../Rocks-CENTERED/002802.png,19,37
../Rocks-CENTERED/000973.png,53,10
../Rocks-CENTERED/000967.png,46,40
../Rocks-CENTERED/002816.png,31,44
../Rocks-CENTERED/004297.png,67,36
../Rocks-CENTERED/000797.png,14,67
../Rocks-CENTERED/001489.png,59,58
../Rocks-CENTERED/002180.png,26,57
../Rocks-CENTERED/002194.png,14,2
../Rocks-CENTERED/000783.png,32,35
../Rocks-CENTERED/004283.png,26,66
../Rocks-CENTERED/002619.png,33,18
../Rocks-CENTERED/003507.png,36,45
../Rocks-CENTERED/004268.png,21,11
../Rocks-CENTERED/001310.png,7,17
../Rocks-CENTERED/001476.png,43,53
../Rocks-CENTERED/000768.png,11,21
../Rocks-CENTERED/003261.png,7,33
../Rocks-CENTERED/003275.png,63,27
../Rocks-CENTERED/001462.png,69,12
../Rocks-CENTERED/001304.png,59,11
../Rocks-CENTERED/003513.png,44,52
../Rocks-CENTERED/000032.png,64,22
../Rocks-CENTERED/002625.png,48,24
../Rocks-CENTERED/004254.png,11,31
../Rocks-CENTERED/004532.png,26,17
../Rocks-CENTERED/002143.png,6,53
../Rocks-CENTERED/000754.png,69,0
../Rocks-CENTERED/000998.png,14,8
../Rocks-CENTERED/000740.png,60,9
../Rocks-CENTERED/004526.png,21,55
../Rocks-CENTERED/003249.png,45,43
../Rocks-CENTERED/002157.png,34,30
../Rocks-CENTERED/002631.png,42,35
../Rocks-CENTERED/004240.png,37,34
../Rocks-CENTERED/000026.png,69,2
../Rocks-CENTERED/001338.png,47,62
../Rocks-CENTERED/004917.png,28,21
../Rocks-CENTERED/004903.png,39,46
../Rocks-CENTERED/002382.png,31,16
../Rocks-CENTERED/001853.png,3,13
../Rocks-CENTERED/000595.png,43,12
../Rocks-CENTERED/003922.png,9,7
../Rocks-CENTERED/004095.png,46,58
../Rocks-CENTERED/003936.png,33,52
../Rocks-CENTERED/004081.png,10,11
../Rocks-CENTERED/001847.png,57,47
../Rocks-CENTERED/000581.png,4,9
../Rocks-CENTERED/003088.png,54,27
../Rocks-CENTERED/002396.png,16,26
../Rocks-CENTERED/003063.png,38,63
../Rocks-CENTERED/001674.png,42,66
../Rocks-CENTERED/001112.png,42,40
../Rocks-CENTERED/003705.png,17,21
../Rocks-CENTERED/003711.png,28,42
../Rocks-CENTERED/001106.png,7,61
../Rocks-CENTERED/000218.png,16,2
../Rocks-CENTERED/001660.png,1,65
../Rocks-CENTERED/002369.png,64,16
../Rocks-CENTERED/003077.png,0,28
../Rocks-CENTERED/004718.png,14,36
../Rocks-CENTERED/001890.png,6,25
../Rocks-CENTERED/000556.png,12,21
../Rocks-CENTERED/001648.png,28,43
../Rocks-CENTERED/002341.png,57,44
../Rocks-CENTERED/004730.png,36,66
../Rocks-CENTERED/004056.png,48,10
../Rocks-CENTERED/003739.png,40,8
../Rocks-CENTERED/002427.png,15,36
../Rocks-CENTERED/000230.png,59,36
../Rocks-CENTERED/000224.png,10,56
../Rocks-CENTERED/004042.png,51,9
../Rocks-CENTERED/002433.png,35,33
../Rocks-CENTERED/002355.png,41,10
../Rocks-CENTERED/004724.png,59,7
../Rocks-CENTERED/001884.png,9,3
../Rocks-CENTERED/000542.png,7,47
../Rocks-CENTERED/002432.png,49,28
../Rocks-CENTERED/004043.png,60,10
../Rocks-CENTERED/000225.png,5,35
../Rocks-CENTERED/000543.png,2,24
../Rocks-CENTERED/001885.png,56,53
../Rocks-CENTERED/004725.png,5,9
../Rocks-CENTERED/002354.png,0,52
